time,com_y,wrist_hand_r3_pos,wrist_hand_r3_vel
0.0,-0.020243517088991695,0.004122685641050339,0.0
0.01,-0.013010461072807284,0.02779213620415857,1.234370100715254
0.02,-0.013099012953211753,0.03596842823272428,0.286587480293245
0.03,-0.013090687938018741,0.035197963123847695,-0.19736706637361415
0.04,-0.013093095874869285,0.03542077444806381,0.26731967768092957
0.05,-0.013141872025841503,0.03994101061297887,0.529735298898394
0.06,-0.013189632959517437,0.044380155564371124,0.3178157029446114
0.07,-0.013203637996329991,0.045684353780539796,-0.005856587631230762
0.08,-0.013190941449871079,0.04450195826617899,-0.18512150131968616
0.09,-0.013167817549039888,0.04235089813508892,-0.22717019601160585
0.1,-0.013143411048631528,0.04008385252095419,-0.2234581969597595
0.11,-0.013121498009707085,0.03805128214798688,-0.17065104056522648
0.12,-0.013113115152101727,0.037274428186801344,0.03006453271958078
0.13,-0.013138930251615454,0.03966801172149346,0.45412415799306594
0.14,-0.01322374049129059,0.04755838560072868,1.0798926826689632
0.15,-0.01338141131792334,0.062343111931990186,1.7370405486030827
0.16,-0.013600414245989846,0.08315524738295237,2.3143975544539104
0.17,-0.013865617755933927,0.10885177213867155,2.7329076872254725
0.18,-0.014156082711626198,0.13772806261297305,2.9785735001570965
0.19,-0.014452283429946667,0.16812053244548872,3.0499596426661837
0.2,-0.014728868795097227,0.1975428755599632,2.785066970418622
0.21,-0.014949499535265868,0.2218786634870589,2.07425664477273
0.22,-0.015082447478466906,0.23697449507607946,1.0082131899440407
0.23,-0.015112640912112871,0.24045263967667027,-0.17672413229915657
0.24,-0.015051608587898611,0.23344151852724307,-1.0860738976158413
0.25,-0.014937466821558883,0.22052923697269944,-1.3671839792986573
0.26,-0.014819388188757247,0.20742604020456268,-1.2545927334050504
0.27,-0.014708564520347207,0.1953442352798387,-1.1837629421969096
0.28,-0.014602157098128732,0.18392577041015998,-1.0813496778136078
0.29,-0.014517666906448961,0.17497748907449678,-0.6750356774500108
0.3,-0.014488495833303135,0.17191111681379,0.0473124797908835
0.31,-0.014537519520771404,0.17707101787643154,0.8898206180140821
0.32,-0.014660445659637731,0.1901594003583192,1.6215118705039513
0.33,-0.014839967284197675,0.20969204789190168,2.187844955643179
0.34,-0.01505712375492142,0.23407192145892042,2.600130927846856
0.35000000000000003,-0.015293152656141186,0.2616677773435248,2.854243102551592
0.36,-0.015531212596197812,0.290898916065382,2.947550215938785
0.37,-0.015752971455228273,0.31968250350566085,2.7620253264850327
0.38,-0.015932304204768676,0.34431253656758504,2.1423557650160046
0.39,-0.016044454370844466,0.36045666911627455,1.1261812569740142
0.4,-0.01607418313366403,0.3648446539836345,-0.12257953148850695
0.41000000000000003,-0.016023280237347556,0.3573601327371664,-1.231468918011042
0.42,-0.015911607930039144,0.34139945531937915,-1.8250643461601286
0.43,-0.01576574261433583,0.3213931926177431,-2.1182152979324584
0.44,-0.015593529168203685,0.2988213946813227,-2.3343140738706345
0.45,-0.01540299864438512,0.27496354973601195,-2.382078753670659
0.46,-0.015221324781234875,0.2531363107696108,-1.9081330109727277
0.47000000000000003,-0.015106175278906547,0.23970621434440886,-0.7804102372297741
0.48,-0.015103630385143896,0.23941266158431448,0.5985029640221268
0.49,-0.015205825596696266,0.25131131943545915,1.623513408933791
0.5,-0.01536859639246417,0.27076577896738724,2.1553774629229503
0.51,-0.015555447939668725,0.29396557692863384,2.422211939423053
0.52,-0.01574844076466882,0.31907711290481683,2.5652961447958185
0.53,-0.015937692820106895,0.34507424477164633,2.6073075050721966
