Time,SUP,ECRL,ECRB,ECU,FCR,FCU,PQ
0.0,0.30472864988010273,0.4801854785303742,0.1576638450878535,0.47945977885489754,0.2247325808041942,0.2693305795890303,0.4310810375281767
0.01,0.30391563420269796,0.5051682972802671,0.18907236740602867,0.4568188108888008,0.24012694424784423,0.24301898167945876,0.41706613962106065
0.02,0.3017013338484121,0.5163303106785452,0.2036974485216619,0.454016129300092,0.23253036495795584,0.2148457835807254,0.4113669450112558
0.03,0.300684025894826,0.5297278620741442,0.2072208164110294,0.44059162445721284,0.23831940049390493,0.19433789748945596,0.3975757152552159
0.04,0.2991573838308252,0.5387127200223588,0.22924177470622698,0.45257242838151296,0.2292024832341936,0.17682247775911275,0.3876545566960121
0.05,0.29666176705451675,0.5410065737474876,0.2371454089407658,0.4744651899124458,0.21989151512501898,0.16377504067442797,0.379024584462965
0.06,0.29386839250969515,0.5386699695659687,0.23574256589943163,0.4794752756924003,0.21715668426709153,0.15721188164180197,0.37130031863260826
0.07,0.29088338443596434,0.5346408452384631,0.23337106004572494,0.4824928468737829,0.2188485264547474,0.1538597667245816,0.36394564030964066
0.08,0.2878677836717142,0.5301917026496543,0.2318188500139493,0.49352170839748877,0.21785673249507492,0.15038514184037993,0.3567060575903666
0.09,0.28484555933528816,0.5254918390132994,0.23061133920456117,0.5071329505169616,0.21611240232739384,0.14707183396712495,0.3496671674337142
0.1,0.28181010287064107,0.5202718843845158,0.22892674679800132,0.518810395361723,0.21495793196237856,0.1444428756881735,0.34269118741773674
0.11,0.27879178835395996,0.5149598592166302,0.22684283341378206,0.528512821194743,0.21449162066525057,0.1421604735598625,0.3358608801652226
0.12,0.27577996061625476,0.5099088263607269,0.22466395738517964,0.5371699526172744,0.21443202643171638,0.1398391779346118,0.3290776748158884
0.13,0.2727442436539847,0.5052122578498899,0.22239091069159242,0.5438084740516124,0.21646092629035074,0.13758029220541848,0.32245656346265694
0.14,0.2696209876907139,0.5007252786721001,0.21983323760670054,0.5475964807981023,0.22073553995748527,0.13555479765457376,0.31604953222763493
0.15,0.26641699137855396,0.49642108487716957,0.2170513279288607,0.5492068792066638,0.22596974191492863,0.1337108815159041,0.30987398222147344
